itr,wall,itr_time,loss,bpd,fe,total_time,grad_norm,kinetic_energy,jacobian_norm2
674,2500.2898,3.6234,1.8504,1.7906,320.0,10.0000,9.2570,5.7446,0.2413
675,2504.0013,3.7115,1.8593,1.7951,320.0,10.0000,1.1712,6.1452,0.2747
676,2507.8058,3.8045,1.8076,1.7386,320.0,10.0000,6.9860,6.5954,0.3046
677,2511.4786,3.6728,1.8603,1.7914,320.0,10.0000,7.0909,6.5841,0.3079
678,2515.1614,3.6827,1.8787,1.8148,320.0,10.0000,1.3398,6.1148,0.2790
679,2518.7875,3.6261,1.7811,1.7210,320.0,10.0000,7.7474,5.7571,0.2521
680,2522.4507,3.6632,1.8614,1.8003,320.0,10.0000,6.2290,5.8452,0.2690
681,2526.2112,3.7605,1.8093,1.7430,320.0,10.0000,3.2261,6.3303,0.2978
682,2529.9073,3.6961,1.8194,1.7508,320.0,10.0000,6.4571,6.5515,0.3096
683,2533.6708,3.7635,1.7987,1.7330,320.0,10.0000,2.0051,6.2753,0.2922
684,2537.3648,3.6940,1.7776,1.7161,320.0,10.0000,4.7063,5.8978,0.2606
685,2541.0077,3.6429,1.8330,1.7717,320.0,10.0000,5.9376,5.8573,0.2670
686,2544.6868,3.6792,1.8569,1.7924,320.0,10.0000,0.9617,6.1585,0.2881
687,2548.3522,3.6653,1.8109,1.7435,320.0,10.0000,4.5681,6.4350,0.3052
688,2552.0090,3.6569,1.8362,1.7701,320.0,10.0000,2.7605,6.3111,0.3012
689,2555.7235,3.7145,1.7858,1.7230,320.0,10.0000,3.3150,5.9982,0.2815
690,2559.4152,3.6917,1.7951,1.7334,320.0,10.0000,5.3744,5.8918,0.2782
691,2563.1592,3.7440,1.7893,1.7246,320.0,10.0000,0.9399,6.1656,0.3006
692,2566.9978,3.8386,1.7836,1.7161,320.0,10.0000,4.0712,6.4359,0.3126
693,2570.6202,3.6224,1.8130,1.7474,320.0,10.0000,1.1334,6.2637,0.3041
694,2574.3007,3.6804,1.8433,1.7807,320.0,10.0000,4.7299,5.9755,0.2862
695,2577.9349,3.6342,1.8114,1.7476,320.0,10.0000,2.0657,6.0883,0.2910
696,2581.5911,3.6562,1.8437,1.7773,320.0,10.0000,3.2486,6.3374,0.3093
697,2585.2956,3.7045,1.8320,1.7657,320.0,10.0000,2.2819,6.3181,0.3094
698,2589.1223,3.8268,1.8193,1.7556,320.0,10.0000,2.8109,6.0761,0.2947
699,2592.8338,3.7115,1.8225,1.7583,320.0,10.0000,2.1631,6.1111,0.3020
700,2596.5485,3.7146,1.7953,1.7288,320.0,10.0000,1.9077,6.3243,0.3171
701,2600.2885,3.7400,1.8149,1.7485,320.0,10.0000,2.4997,6.3228,0.3151
702,2604.0234,3.7349,1.8081,1.7442,320.0,10.0000,3.5603,6.0915,0.3013
703,2607.6906,3.6672,1.7930,1.7280,320.0,10.0000,0.5962,6.1874,0.3135
704,2611.4061,3.7155,1.8076,1.7415,320.0,10.0000,2.2361,6.2876,0.3222
705,2615.1143,3.7082,1.7950,1.7304,320.0,10.0000,0.6312,6.1475,0.3117
706,2618.7534,3.6391,1.7804,1.7168,320.0,10.0000,3.2411,6.0630,0.3042
707,2622.4728,3.7194,1.8096,1.7435,320.0,10.0000,2.3613,6.2914,0.3252
708,2626.1354,3.6626,1.8173,1.7519,320.0,10.0000,1.3541,6.2216,0.3272
709,2629.7245,3.5891,1.7915,1.7280,320.0,10.0000,3.2409,6.0340,0.3121
710,2633.3759,3.6514,1.8274,1.7630,320.0,10.0000,0.9403,6.1240,0.3216
711,2637.1128,3.7369,1.8486,1.7823,320.0,10.0000,3.1750,6.2867,0.3427
712,2640.8706,3.7578,1.8174,1.7542,320.0,10.0000,2.8458,6.0103,0.3130
713,2644.6476,3.7770,1.7753,1.7113,320.0,10.0000,0.8401,6.0808,0.3119
714,2648.3769,3.7293,1.7511,1.6858,320.0,10.0000,2.1118,6.1889,0.3320
715,2652.0330,3.6560,1.7407,1.6766,320.0,10.0000,0.5761,6.0885,0.3227
716,2655.7163,3.6833,1.7899,1.7265,320.0,10.0000,2.0700,6.0244,0.3198
717,2659.5148,3.7985,1.7905,1.7251,320.0,10.0000,2.6881,6.2031,0.3366
718,2663.2346,3.7198,1.8228,1.7591,320.0,10.0000,1.8912,6.0346,0.3304
719,2666.9123,3.6778,1.8181,1.7540,320.0,10.0000,1.3703,6.0704,0.3361
720,2670.5907,3.6783,1.7921,1.7266,320.0,10.0000,2.5985,6.2069,0.3470
721,2674.2811,3.6904,1.7883,1.7251,320.0,10.0000,3.3944,5.9873,0.3320
722,2677.9171,3.6360,1.7794,1.7142,320.0,10.0000,1.6712,6.1645,0.3472
723,2681.6068,3.6898,1.7720,1.7075,320.0,10.0000,0.5731,6.1134,0.3444
724,2685.3889,3.7820,1.7549,1.6907,320.0,10.0000,0.9451,6.0784,0.3416
725,2689.2353,3.8464,1.7776,1.7130,320.0,10.0000,1.3301,6.1164,0.3491
726,2692.8990,3.6637,1.7829,1.7195,320.0,10.0000,1.7433,5.9910,0.3456
727,2696.4764,3.5775,1.7981,1.7337,320.0,10.0000,1.6872,6.0855,0.3571
728,2700.1191,3.6427,1.7685,1.7054,320.0,10.0000,1.4795,5.9650,0.3420
729,2703.7857,3.6665,1.7998,1.7355,320.0,10.0000,1.2488,6.0666,0.3604
730,2707.4130,3.6273,1.7744,1.7107,320.0,10.0000,0.7646,6.0135,0.3567
731,2711.0725,3.6595,1.7527,1.6891,320.0,10.0000,0.9932,6.0037,0.3513
732,2714.7114,3.6388,1.7794,1.7151,320.0,10.0000,1.4175,6.0631,0.3694
733,2718.4305,3.7191,1.7893,1.7267,320.0,10.0000,2.3363,5.9095,0.3529
734,2722.1730,3.7425,1.7620,1.6974,320.0,10.0000,2.1076,6.0885,0.3721
735,2725.9697,3.7968,1.7996,1.7361,320.0,10.0000,0.8852,5.9814,0.3715
736,2729.7246,3.7549,1.7556,1.6921,320.0,10.0000,1.6394,5.9747,0.3692
737,2733.4091,3.6845,1.7931,1.7275,320.0,10.0000,3.4651,6.1564,0.3986
738,2737.0925,3.6834,1.8292,1.7680,320.0,10.0000,7.6569,5.7620,0.3582
739,2740.7561,3.6636,1.7964,1.7273,320.0,10.0000,10.9392,6.4835,0.4247
740,2744.4637,3.7076,1.7502,1.6915,320.0,10.0000,15.4882,5.5375,0.3284
741,2748.1749,3.7112,1.7902,1.7155,320.0,10.0000,19.2403,6.9854,0.4835
742,2751.9454,3.7705,1.7145,1.6564,320.0,10.0000,14.5317,5.4937,0.3174
743,2755.6694,3.7240,1.7501,1.6834,320.0,10.0000,7.8489,6.2711,0.4006
744,2759.3124,3.6430,1.7571,1.6939,320.0,10.0000,0.8183,5.9363,0.3800
745,2762.9284,3.6160,1.8060,1.7458,320.0,10.0000,8.8122,5.6590,0.3593
746,2766.6123,3.6840,1.7882,1.7170,320.0,10.0000,13.9963,6.6439,0.4722
747,2770.4147,3.8024,1.8023,1.7456,320.0,10.0000,21.1855,5.3392,0.3319
748,2774.1576,3.7429,1.8388,1.7623,320.0,10.0000,20.3810,7.1285,0.5253
749,2777.8019,3.6443,1.7413,1.6810,320.0,10.0000,5.2828,5.6880,0.3492
750,2781.4979,3.6960,1.7791,1.7213,320.0,10.0000,12.5300,5.4531,0.3207
751,2785.2342,3.7363,1.7576,1.6830,320.0,10.0000,18.6456,6.9537,0.5039
752,2788.9448,3.7106,1.7596,1.6980,320.0,10.0000,1.9927,5.7832,0.3739
753,2792.5832,3.6385,1.7974,1.7413,320.0,10.0000,20.3031,5.2795,0.3237
754,2796.2439,3.6607,1.8146,1.7331,320.0,10.0000,22.2193,7.5622,0.5862
755,2799.9401,3.6962,1.7577,1.6929,320.0,10.0000,4.7801,6.0631,0.4148
756,2803.6819,3.7418,1.8658,1.8124,320.0,10.0000,36.1553,5.0762,0.2628
757,2807.4256,3.7437,1.8389,1.7594,320.0,10.0000,21.2535,7.3832,0.5611
758,2811.1365,3.7109,1.8019,1.7217,320.0,10.0000,20.8855,7.4663,0.5577
759,2814.8241,3.6876,1.7851,1.7249,320.0,10.0000,7.8729,5.7260,0.2999
760,2818.5249,3.7008,1.8738,1.8183,320.0,10.0000,21.4108,5.2980,0.2601
761,2822.2315,3.7065,1.7398,1.6747,320.0,10.0000,3.6974,6.1064,0.4041
762,2825.8791,3.6477,1.8501,1.7686,320.0,10.0000,18.0979,7.5452,0.6027
763,2829.4778,3.5987,1.7307,1.6641,320.0,10.0000,5.7779,6.2143,0.4472
764,2833.1496,3.6718,1.7940,1.7382,320.0,10.0000,20.6888,5.2962,0.2865
765,2836.7854,3.6357,1.7864,1.7273,320.0,10.0000,7.0463,5.5636,0.3479
766,2840.3980,3.6126,1.7889,1.7143,320.0,10.0000,13.4715,6.9332,0.5257
767,2844.0367,3.6387,1.8036,1.7323,320.0,10.0000,12.0961,6.6435,0.4861
768,2847.6711,3.6345,1.7754,1.7171,320.0,10.0000,9.3771,5.5063,0.3232
769,2851.3265,3.6554,1.8265,1.7696,320.0,10.0000,13.4387,5.3905,0.3020
770,2855.0905,3.7640,1.7723,1.7066,320.0,10.0000,5.0188,6.1305,0.4393
771,2858.7812,3.6907,1.8030,1.7289,320.0,10.0000,12.9620,6.8777,0.5339
772,2862.4294,3.6481,1.7422,1.6798,320.0,10.0000,1.1984,5.8293,0.4079
773,2866.0983,3.6689,1.8074,1.7506,320.0,10.0000,14.5338,5.3500,0.3317
774,2869.7953,3.6970,1.7626,1.6994,320.0,10.0000,1.0221,5.9022,0.4181
775,2873.4076,3.6124,1.7866,1.7146,320.0,10.0000,11.8358,6.6893,0.5084
776,2877.0674,3.6598,1.7311,1.6689,320.0,10.0000,1.2516,5.8143,0.4028
777,2880.7187,3.6513,1.8161,1.7596,320.0,10.0000,12.3536,5.3250,0.3263
778,2884.4335,3.7148,1.7873,1.7251,320.0,10.0000,1.2810,5.8188,0.4083
779,2888.2849,3.8514,1.7929,1.7231,320.0,10.0000,10.9646,6.4781,0.4950
780,2892.0406,3.7557,1.7498,1.6894,320.0,10.0000,2.7289,5.6435,0.3997
781,2895.8162,3.7756,1.7758,1.7191,320.0,10.0000,10.5464,5.3125,0.3577
782,2899.5186,3.7024,1.7436,1.6785,320.0,10.0000,5.8585,6.0555,0.4539
783,2903.1032,3.5846,1.7410,1.6745,320.0,10.0000,7.2093,6.1749,0.4744
784,2906.7460,3.6428,1.7529,1.6950,320.0,10.0000,7.6401,5.4067,0.3829
785,2910.4836,3.7376,1.7515,1.6914,320.0,10.0000,2.3785,5.6101,0.4037
786,2914.3045,3.8209,1.7536,1.6871,320.0,10.0000,8.1855,6.1700,0.4826
787,2918.0125,3.7080,1.7497,1.6893,320.0,10.0000,2.4535,5.6163,0.4237
788,2921.6315,3.6190,1.7286,1.6701,320.0,10.0000,7.0637,5.4447,0.4044
789,2925.3429,3.7114,1.7743,1.7079,320.0,10.0000,8.0665,6.1472,0.4968
790,2928.9419,3.5990,1.7441,1.6834,320.0,10.0000,2.2386,5.6257,0.4415
791,2932.6101,3.6682,1.7589,1.7008,320.0,10.0000,8.2903,5.4023,0.4168
792,2936.3700,3.7599,1.7498,1.6823,320.0,10.0000,9.8720,6.2370,0.5178
793,2940.1413,3.7714,1.7255,1.6661,320.0,10.0000,4.1584,5.5081,0.4323
794,2943.8283,3.6869,1.7482,1.6886,320.0,10.0000,4.0277,5.5217,0.4400
795,2947.4871,3.6589,1.7334,1.6667,320.0,10.0000,8.9300,6.1527,0.5151
796,2951.1785,3.6914,1.7443,1.6862,320.0,10.0000,8.2071,5.3908,0.4276
797,2954.8588,3.6803,1.7377,1.6738,320.0,10.0000,4.2313,5.8886,0.4979
798,2958.6466,3.7878,1.6931,1.6314,320.0,10.0000,1.0714,5.7075,0.4668
799,2962.3176,3.6711,1.7117,1.6523,320.0,10.0000,5.1996,5.5025,0.4466
800,2966.0451,3.7275,1.7078,1.6413,320.0,10.0000,8.7213,6.1172,0.5309
801,2969.7571,3.7120,1.7251,1.6677,320.0,10.0000,11.9536,5.3193,0.4248
802,2973.4526,3.6954,1.7378,1.6683,320.0,10.0000,13.0980,6.3737,0.5720
803,2977.1159,3.6633,1.7244,1.6670,320.0,10.0000,12.7513,5.3167,0.4251
804,2980.7833,3.6675,1.7455,1.6774,320.0,10.0000,10.8018,6.2470,0.5629
805,2984.4367,3.6534,1.7289,1.6699,320.0,10.0000,7.1485,5.4488,0.4529
806,2988.0957,3.6591,1.7103,1.6468,320.0,10.0000,3.5327,5.8313,0.5215
807,2991.7379,3.6422,1.7387,1.6766,320.0,10.0000,0.7121,5.6990,0.5092
808,2995.4353,3.6974,1.7156,1.6556,320.0,10.0000,4.4693,5.5151,0.4910
809,2999.2361,3.8008,1.7289,1.6624,320.0,10.0000,7.8898,6.0866,0.5665
810,3002.9792,3.7431,1.7655,1.7079,320.0,10.0000,11.4655,5.3097,0.4463
811,3006.6673,3.6881,1.7112,1.6420,320.0,10.0000,12.5913,6.3109,0.6011
812,3010.3101,3.6428,1.7330,1.6756,320.0,10.0000,10.9802,5.3051,0.4345
813,3013.9700,3.6599,1.7349,1.6687,320.0,10.0000,8.3532,6.0527,0.5719
814,3017.6750,3.7050,1.7362,1.6757,320.0,10.0000,3.4635,5.5498,0.5056
815,3021.3291,3.6541,1.7169,1.6547,320.0,10.0000,0.9319,5.6874,0.5316
816,3025.0002,3.6711,1.6807,1.6162,320.0,10.0000,3.9615,5.8773,0.5727
817,3028.6838,3.6836,1.7286,1.6701,320.0,10.0000,10.1250,5.3672,0.4847
818,3032.3521,3.6683,1.7305,1.6591,320.0,10.0000,15.3250,6.4831,0.6564
819,3036.0788,3.7267,1.7522,1.6964,320.0,10.0000,20.4866,5.1731,0.4108
820,3039.8000,3.7212,1.7207,1.6447,320.0,10.0000,20.9206,6.8950,0.7012
821,3043.4977,3.6977,1.7199,1.6628,320.0,10.0000,11.4084,5.2875,0.4298
822,3047.2011,3.7034,1.6882,1.6265,320.0,10.0000,1.4461,5.6443,0.5297
823,3050.9005,3.6994,1.7203,1.6513,320.0,10.0000,11.3376,6.2556,0.6422
824,3054.6329,3.7324,1.7329,1.6772,320.0,10.0000,22.2659,5.1293,0.4426
825,3058.3672,3.7343,1.7747,1.6938,320.0,10.0000,22.6629,7.3041,0.7867
826,3062.1059,3.7386,1.6862,1.6289,320.0,10.0000,10.5370,5.2861,0.4470
827,3065.7586,3.6527,1.7400,1.6822,320.0,10.0000,8.0711,5.3223,0.4547
828,3069.4082,3.6496,1.7349,1.6597,320.0,10.0000,18.8261,6.8094,0.7146
829,3073.0732,3.6649,1.7195,1.6616,320.0,10.0000,7.5105,5.3109,0.4833
830,3076.8015,3.7283,1.7030,1.6457,320.0,10.0000,10.3769,5.2446,0.4856
831,3080.4358,3.6344,1.7118,1.6367,320.0,10.0000,16.2356,6.7811,0.7304
832,3084.0888,3.6530,1.7138,1.6547,320.0,10.0000,7.4359,5.3820,0.5197
833,3087.7392,3.6504,1.7017,1.6436,320.0,10.0000,10.1434,5.3175,0.4884
834,3091.4017,3.6625,1.7252,1.6518,320.0,10.0000,15.8303,6.6299,0.7134
835,3095.0993,3.6976,1.6575,1.5982,320.0,10.0000,5.0416,5.4187,0.5093
836,3098.8488,3.7495,1.7200,1.6623,320.0,10.0000,9.7208,5.2891,0.4781
837,3102.6747,3.8259,1.6993,1.6269,320.0,10.0000,14.8478,6.5333,0.7122
838,3106.3993,3.7246,1.6770,1.6175,320.0,10.0000,5.9996,5.4208,0.5347
839,3110.0497,3.6504,1.7090,1.6503,320.0,10.0000,8.7755,5.3486,0.5229
840,3113.7020,3.6523,1.6509,1.5802,320.0,10.0000,12.6359,6.3645,0.7043
841,3117.3585,3.6565,1.6711,1.6127,320.0,10.0000,8.2113,5.3222,0.5202
842,3121.0129,3.6544,1.6570,1.5962,320.0,10.0000,1.9258,5.5125,0.5621
843,3124.6476,3.6347,1.6802,1.6129,320.0,10.0000,9.3421,6.0734,0.6612
844,3128.3506,3.7030,1.6995,1.6416,320.0,10.0000,9.0045,5.2788,0.5074
845,3132.1835,3.8329,1.6729,1.6093,320.0,10.0000,3.9684,5.7470,0.6130
846,3135.9016,3.7181,1.6533,1.5897,320.0,10.0000,2.9742,5.7339,0.6213
847,3139.5909,3.6893,1.6981,1.6397,320.0,10.0000,9.0328,5.2968,0.5383
848,3143.2780,3.6871,1.6983,1.6287,320.0,10.0000,12.8265,6.2683,0.6957
849,3147.0236,3.7456,1.6637,1.6064,320.0,10.0000,13.4626,5.2187,0.5029
850,3150.7568,3.7332,1.7036,1.6337,320.0,10.0000,12.7451,6.2720,0.7142
851,3154.3787,3.6219,1.6750,1.6163,320.0,10.0000,8.5661,5.3276,0.5439
852,3158.0100,3.6313,1.6902,1.6255,320.0,10.0000,5.2335,5.8143,0.6519
853,3161.7006,3.6906,1.7017,1.6409,320.0,10.0000,3.4382,5.4670,0.6112
854,3165.4099,3.7093,1.6286,1.5669,320.0,10.0000,2.1127,5.5501,0.6198
855,3169.1135,3.7036,1.6486,1.5836,320.0,10.0000,5.5761,5.8278,0.6713
856,3172.8896,3.7760,1.7386,1.6811,320.0,10.0000,12.7019,5.2132,0.5359
857,3176.6122,3.7226,1.6885,1.6144,320.0,10.0000,19.0748,6.6237,0.7864
858,3180.2367,3.6245,1.7676,1.7130,320.0,10.0000,23.8275,5.0062,0.4606
859,3183.8647,3.6281,1.7192,1.6401,320.0,10.0000,24.2424,7.0685,0.8380
860,3187.5145,3.6497,1.6556,1.5989,320.0,10.0000,12.4156,5.1745,0.4958
861,3191.2342,3.7197,1.6674,1.6058,320.0,10.0000,1.2937,5.5482,0.6108
862,3195.0687,3.8346,1.6819,1.6125,320.0,10.0000,12.1499,6.1982,0.7407
863,3198.7805,3.7117,1.7192,1.6636,320.0,10.0000,20.6037,5.0574,0.5106
864,3202.5040,3.7235,1.7120,1.6383,320.0,10.0000,17.3413,6.5556,0.8071
865,3206.1959,3.6919,1.6619,1.6025,320.0,10.0000,5.1271,5.3629,0.5697
866,3209.9900,3.7941,1.6546,1.5963,320.0,10.0000,8.8107,5.2998,0.5358
867,3213.6410,3.6510,1.7112,1.6390,320.0,10.0000,14.8784,6.4334,0.7933
868,3217.3344,3.6934,1.6475,1.5887,320.0,10.0000,7.6967,5.2923,0.5913
869,3220.9746,3.6402,1.6439,1.5845,320.0,10.0000,6.7631,5.3315,0.6076
870,3224.6315,3.6569,1.6779,1.6067,320.0,10.0000,13.5314,6.3173,0.8026
871,3228.3745,3.7430,1.6790,1.6211,320.0,10.0000,12.8055,5.2449,0.5504
872,3232.1236,3.7491,1.6822,1.6194,320.0,10.0000,2.6556,5.6147,0.6662
873,3235.8236,3.7000,1.6618,1.5947,320.0,10.0000,10.5101,5.9729,0.7333
874,3239.5416,3.7180,1.6916,1.6353,320.0,10.0000,15.7429,5.1081,0.5228
875,3243.2514,3.7098,1.6574,1.5878,320.0,10.0000,12.7303,6.1771,0.7782
876,3246.8931,3.6417,1.6545,1.5936,320.0,10.0000,2.1682,5.4524,0.6389
877,3250.5404,3.6473,1.6106,1.5526,320.0,10.0000,10.9260,5.2176,0.5782
878,3254.2022,3.6618,1.7141,1.6402,320.0,10.0000,17.5488,6.5364,0.8523
879,3257.8756,3.6734,1.6308,1.5746,320.0,10.0000,17.0857,5.0875,0.5350
880,3261.6050,3.7294,1.6394,1.5725,320.0,10.0000,8.9903,5.9440,0.7442
881,3265.3066,3.7016,1.6381,1.5743,320.0,10.0000,4.6487,5.6964,0.6839
882,3269.0322,3.7256,1.6518,1.5944,320.0,10.0000,13.1570,5.1833,0.5604
883,3272.7452,3.7130,1.6716,1.5992,320.0,10.0000,15.6390,6.3956,0.8445
884,3276.5051,3.7599,1.6559,1.5984,320.0,10.0000,13.1491,5.1423,0.6070
885,3280.2078,3.7027,1.6656,1.6013,320.0,10.0000,4.6343,5.6835,0.7492
886,3283.9122,3.7044,1.6184,1.5554,320.0,10.0000,2.7343,5.5791,0.7138
887,3287.6105,3.6983,1.6188,1.5602,320.0,10.0000,8.1621,5.2416,0.6112
888,3291.2866,3.6761,1.6285,1.5593,320.0,10.0000,12.7917,6.1003,0.8276
889,3294.9308,3.6442,1.6596,1.6023,320.0,10.0000,13.1244,5.1332,0.5948
890,3298.6409,3.7101,1.6304,1.5624,320.0,10.0000,11.2853,5.9868,0.8128
891,3302.2692,3.6283,1.6390,1.5805,320.0,10.0000,8.7496,5.2174,0.6359
892,3305.8959,3.6267,1.6373,1.5722,320.0,10.0000,6.5940,5.7325,0.7780
893,3309.5164,3.6205,1.6064,1.5462,320.0,10.0000,4.8122,5.3398,0.6829
894,3313.1421,3.6257,1.6265,1.5627,320.0,10.0000,3.8532,5.6161,0.7687
895,3316.7967,3.6546,1.6264,1.5657,320.0,10.0000,3.9959,5.3524,0.7161
896,3320.4896,3.6930,1.6235,1.5598,320.0,10.0000,4.3959,5.5975,0.7732
897,3324.1630,3.6734,1.6201,1.5615,320.0,10.0000,10.9488,5.2050,0.6584
898,3327.8610,3.6980,1.6613,1.5861,320.0,10.0000,21.2534,6.5668,0.9512
899,3331.5845,3.7235,1.7415,1.6863,320.0,10.0000,33.6708,5.0542,0.4621
